word,count,word size
the,69971,words having 3 or less letters
of,36412,words having 3 or less letters
and,28853,words having 3 or less letters
to,26158,words having 3 or less letters
a,23195,words having 3 or less letters
in,21337,words having 3 or less letters
that,10594,words having 4 or more letters
is,10109,words having 3 or less letters
was,9815,words having 3 or less letters
he,9548,words having 3 or less letters
for,9489,words having 3 or less letters
it,8760,words having 3 or less letters
with,7289,words having 4 or more letters
as,7253,words having 3 or less letters
his,6996,words having 3 or less letters
on,6741,words having 3 or less letters
be,6377,words having 3 or less letters
at,5372,words having 3 or less letters
by,5306,words having 3 or less letters
I,5161,words having 3 or less letters
this,5145,words having 4 or more letters
had,5133,words having 3 or less letters
not,4610,words having 3 or less letters
are,4394,words having 3 or less letters
but,4381,words having 3 or less letters
from,4370,words having 4 or more letters
or,4206,words having 3 or less letters
have,3942,words having 4 or more letters
an,3740,words having 3 or less letters
they,3620,words having 4 or more letters
which,3561,words having 4 or more letters
one,3292,words having 3 or less letters
you,3286,words having 3 or less letters
were,3284,words having 4 or more letters
her,3036,words having 3 or less letters
all,3001,words having 3 or less letters
she,2860,words having 3 or less letters
there,2728,words having 4 or more letters
would,2714,words having 4 or more letters
their,2669,words having 4 or more letters
we,2652,words having 3 or less letters
him,2619,words having 3 or less letters
been,2472,words having 4 or more letters
has,2437,words having 3 or less letters
when,2331,words having 4 or more letters
who,2252,words having 3 or less letters
will,2245,words having 4 or more letters
more,2215,words having 4 or more letters
if,2198,words having 3 or less letters
no,2139,words having 3 or less letters
out,2097,words having 3 or less letters
so,1985,words having 3 or less letters
said,1961,words having 4 or more letters
what,1908,words having 4 or more letters
up,1890,words having 3 or less letters
its,1858,words having 3 or less letters
about,1815,words having 4 or more letters
into,1791,words having 4 or more letters
than,1790,words having 4 or more letters
them,1788,words having 4 or more letters
can,1772,words having 3 or less letters
only,1748,words having 4 or more letters
other,1702,words having 4 or more letters
new,1635,words having 3 or less letters
some,1618,words having 4 or more letters
could,1601,words having 4 or more letters
time,1598,words having 4 or more letters
these,1573,words having 4 or more letters
two,1412,words having 3 or less letters
may,1402,words having 3 or less letters
then,1380,words having 4 or more letters
do,1363,words having 3 or less letters
first,1361,words having 4 or more letters
