word,count,percentage,zipf_dist
आहे,406,2.13%,406
या,218,1.14%,203
आणि,155,0.81%,135
यांनी,105,0.55%,101
व,100,0.52%,81
होते,99,0.52%,67
असे,98,0.51%,58
आहेत,92,0.48%,50
नाही,91,0.48%,45
ते,86,0.45%,40
केले,78,0.41%,36
केली,69,0.36%,33
मात्र,66,0.35%,31
हा,59,0.31%,29
त्यांनी,57,0.3%,27
सुरू,56,0.29%,25
ही,54,0.28%,23
काही,53,0.28%,22
त्यामुळे,53,0.28%,21
असून,52,0.27%,20
तर,52,0.27%,19
हे,52,0.27%,18
करण्यात,51,0.27%,17
एक,49,0.26%,16
होती,48,0.25%,16
सांगितले,48,0.25%,15
त्या,47,0.25%,15
केला,46,0.24%,14
झाले,46,0.24%,14
अशी,46,0.24%,13
आज,45,0.24%,13
झाली,45,0.24%,12
आले,40,0.21%,12
होता,40,0.21%,11
असल्याचे,40,0.21%,11
यांच्या,38,0.2%,11
हजार,38,0.2%,10
वेळी,35,0.18%,10
असा,35,0.18%,10
त्यांना,34,0.18%,10
श्री.,34,0.18%,9
यांना,33,0.17%,9
डॉ.,33,0.17%,9
एका,32,0.17%,9
माहिती,31,0.16%,9
आली,31,0.16%,8
मोबाईल,31,0.16%,8
म्हणाले,30,0.16%,8
झाला,30,0.16%,8
सुमारे,29,0.15%,8
