surname,count,zipf_dist
Smith,2376207,2376207
Johnson,1857160,1188103
Williams,1534042,792069
Brown,1380145,594051
Jones,1362755,475241
Miller,1127803,396034
Davis,1072335,339458
Garcia,858289,297025
Rodriguez,804240,264023
Wilson,783051,237620
Martinez,775072,216018
Anderson,762394,198017
Taylor,720370,182785
Thomas,710696,169729
Hernandez,706372,158413
Moore,698671,148512
Martin,672711,139776
Jackson,666125,132011
Thompson,644368,125063
White,639515,118810
Lopez,621536,113152
Lee,605860,108009
Gonzalez,597718,103313
Harris,593542,99008
Clark,548369,95048
Lewis,509930,91392
Robinson,503028,88007
Walker,501307,84864
Perez,488521,81938
Hall,473568,79206
Young,465948,76651
Allen,463368,74256
Sanchez,441242,72006
Wright,440367,69888
King,438986,67891
Scott,420091,66005
Green,413477,64221
Baker,413351,62531
Adams,413086,60928
Nelson,412236,59405
Hill,411770,57956
Ramirez,388987,56576
Campbell,371953,55260
Mitchell,367433,54004
Roberts,366215,52804
Carter,362548,51656
Phillips,351848,50557
Evans,342237,49504
Turner,335663,48494
Torres,325169,47524
Parker,324246,46592
Collins,317848,45696
Edwards,317070,44834
Stewart,312899,44003
Flores,312615,43203
Morris,311754,42432
Nguyen,310125,41687
Murphy,300501,40969
Rivera,299463,40274
Cook,294795,39603
Rogers,294403,38954
Morgan,276400,38325
Peterson,275041,37717
Cooper,270097,37128
Reed,267443,36557
Bailey,265916,36003
Bell,264752,35465
Gomez,263590,34944
Kelly,260385,34437
Howard,254779,33945
Ward,254121,33467
Cox,253771,33002
Diaz,251772,32550
Richardson,249533,32110
Wood,247299,31682
Watson,242432,31265
Brooks,240751,30859
Bennett,239055,30464
Gray,236713,30078
James,233224,29702
Reyes,232511,29335
Cruz,231065,28978
Hughes,229390,28629
Price,228756,28288
Myers,224824,27955
Long,223494,27630
Foster,221040,27312
Sanders,220902,27002
Ross,219961,26698
Morales,217642,26402
Powell,216553,26112
Sullivan,215640,25828
Russell,215432,25550
Ortiz,214683,25278
Jenkins,213737,25012
Gutierrez,212905,24752
Perry,212644,24496
Butler,210879,24247
Barnes,210426,24002
Fisher,210279,23762
