Processor,transistor count,Date,Designer,MOS process
µPD7220 GDC,40000,1982-01-01,NEC,"5,000 nm"
ARTC HD63484,60000,1984-01-01,Hitachi,
CBM Agnus,21000,1985-01-01,Commodore,"5,000 nm"
YM7101 VDP,100000,1988-01-01,"Yamaha, Sega",
Tom & Jerry,750000,1993-01-01,Flare,
VDP1,1000000,1994-01-01,Sega,500 nm
Sony GPU,1000000,1994-01-01,Toshiba,500 nm
NV1,1000000,1995-01-01,"Nvidia, Sega",500 nm
Reality Coprocessor,2600000,1996-01-01,SGI,350 nm
PowerVR,1200000,1996-01-01,VideoLogic,350 nm
Voodoo Graphics,1000000,1996-01-01,3dfx,500 nm
Voodoo Rush,1000000,1997-01-01,3dfx,500 nm
NV3,3500000,1997-01-01,Nvidia,350 nm
PowerVR2 CLX2,10000000,1998-01-01,VideoLogic,250 nm
i740,3500000,1998-01-01,"Intel, Real3D",350 nm
Voodoo 2,4000000,1998-01-01,3dfx,350 nm
Voodoo Rush,4000000,1998-01-01,3dfx,350 nm
Riva TNT,7000000,1998-01-01,Nvidia,350 nm
PowerVR2 PMX1,6000000,1999-01-01,VideoLogic,250 nm
Rage 128,8000000,1999-01-01,ATI,250 nm
Voodoo 3,8100000,1999-01-01,3dfx,250 nm
Graphics Synthesizer,43000000,1999-01-01,"Sony, Toshiba",180 nm
NV5,15000000,1999-01-01,Nvidia,250 nm
NV10,17000000,1999-01-01,Nvidia,220 nm
Voodoo 4,14000000,2000-01-01,3dfx,220 nm
NV11,20000000,2000-01-01,Nvidia,180 nm
NV15,25000000,2000-01-01,Nvidia,180 nm
Voodoo 5,28000000,2000-01-01,3dfx,220 nm
R100,30000000,2000-01-01,ATI,180 nm
Flipper,51000000,2000-01-01,ArtX,180 nm
PowerVR3 KYRO,14000000,2001-01-01,Imagination,250 nm
PowerVR3 KYRO II,15000000,2001-01-01,Imagination,180 nm
NV2A,60000000,2001-01-01,Nvidia,150 nm
NV20,57000000,2001-01-01,Nvidia,150 nm
R200,60000000,2001-01-01,ATI,150 nm
NV25,63000000,2002-01-01,Nvidia,150 nm
R300,107000000,2002-01-01,ATI,150 nm
R360,117000000,2003-01-01,ATI,150 nm
NV38,135000000,2003-01-01,Nvidia,130 nm
