Capacity (bits),RAM type,transistor count,Date,Designer
1-bit,SRAM (cell),6,1963-01-01,Fairchild
1-bit,DRAM (cell),1,1965-01-01,Toshiba
8-bit,SRAM (bipolar),48,1965-01-01,"SDS, Signetics"
16-bit,SRAM (bipolar),80,1965-01-01,IBM
16-bit,SRAM (TTL),96,1966-01-01,Transitron
256-bit,DRAM (IC),256,1968-01-01,Fairchild
64-bit,SRAM (PMOS),384,1968-01-01,Fairchild
144-bit,SRAM (NMOS),864,1968-01-01,NEC
256-bit,SRAM (PMOS),1536,1969-01-01,Intel
1 Kb,DRAM (PMOS),3072,1970-01-01,"Intel, Honeywell"
1 Kb,DRAM (PMOS),3072,1970-01-01,Intel
1 Kb,DRAM (NMOS),3072,1971-01-01,NEC
2 Kb,DRAM (PMOS),6144,1971-01-01,General Instrument
1 Kb,SRAM (NMOS),6144,1972-01-01,Intel
8 Kb,DRAM (PMOS),8192,1973-01-01,IBM
1 Kb,SRAM (CMOS),6144,1974-01-01,Intel
16 Kb,DRAM (NMOS),16384,1975-01-01,Intel
4 Kb,SRAM (NMOS),24576,1976-01-01,Intel
4 Kb,SRAM (CMOS),24576,1977-01-01,Toshiba
64 Kb,DRAM (NMOS),65536,1977-01-01,NTT
64 Kb,DRAM (VMOS),65536,1979-01-01,Siemens
16 Kb,SRAM (CMOS),98304,1980-01-01,"Hitachi, Toshiba"
256 Kb,DRAM (NMOS),262144,1980-01-01,NEC
256 Kb,DRAM (NMOS),262144,1980-01-01,NTT
64 Kb,SRAM (CMOS),393216,1980-01-01,Matsushita
288 Kb,DRAM,294912,1981-01-01,IBM
64 Kb,SRAM (NMOS),393216,1982-01-01,Intel
256 Kb,SRAM (CMOS),1572864,1984-01-01,Toshiba
8 Mb,DRAM,8388608,1984-01-01,Hitachi
16 Mb,DRAM (CMOS),16777216,1987-01-01,NTT
4 Mb,SRAM (CMOS),25165824,1990-01-01,"NEC, Toshiba, Hitachi, Mitsubishi"
64 Mb,DRAM (CMOS),67108864,1991-01-01,"Matsushita, Mitsubishi, Fujitsu, Toshiba"
16 Mb,SDRAM,16777216,1992-01-01,Samsung
16 Mb,SRAM (CMOS),100663296,1992-01-01,"Fujitsu, NEC"
256 Mb,DRAM (CMOS),268435456,1993-01-01,"Hitachi, NEC"
1 Gb,DRAM,1073741824,1995-01-01,NEC
1 Gb,DRAM,1073741824,1995-01-01,Hitachi
1 Gb,SDRAM,1073741824,1996-01-01,Mitsubishi
1 Gb,SDRAM (SOI),1073741824,1997-01-01,Hyundai
4 Gb,DRAM (4-bit),1073741824,1997-01-01,NEC
4 Gb,DRAM,4294967296,1998-01-01,Hyundai
8 Gb,SDRAM (DDR3),8589934592,2008-01-01,Samsung
16 Gb,SDRAM (DDR3),17179869184,2008-01-01,Samsung
32 Gb,SDRAM (HBM2),34359738368,2016-01-01,Samsung
64 Gb,SDRAM (HBM2),68719476736,2017-01-01,Samsung
128 Gb,SDRAM (DDR4),137438953472,2018-01-01,Samsung
