Scientific Discovery,Named After,Original Discoverer
Aharonov–Bohm effect ,Yakir Aharonov and David Bohm,"Werner Ehrenberg and Raymond E. Siday first predicted the effect in 1949, and similar effects were later rediscovered by Yakir Aharonov and David Bohm in 1959."
Arabic numerals,Arabs,First developed in India around 7th century but Europeans gave them that name because they were first introduced to the numerals in the 10th century by Arabs from North Africa.
Argand diagram,Jean-Robert Argand,"Caspar Wessel in 1797, predating Jean-Robert Argand by 9 years."
Arrhenius equation,Svante Arrhenius ,"The equation was first proposed by the Dutch chemist J. H. van 't Hoff in 1884; five years later in 1889, the Swedish chemist Svante Arrhenius provided a physical justification and interpretation for it."
Auger effect,Pierre Victor Auger,"First discovered by Lise Meitner in 1922 and then, independently, in 1923 by Pierre Victor Auger."
Bailey–Borwein–Plouffe formula,"David H. Bailey, Peter Borwein, and Plouffe","It was discovered in 1995 by Simon Plouffe and is named after the authors of the article in which it was published, David H. Bailey, Peter Borwein, and Plouffe."
Bechdel test,Alison Bechdel,"A gender bias test for films popularised by and named after Dykes to Watch Out For comic strip writer Alison Bechdel, despite her repeated insistence that the test was devised by her friend Liz Wallace."
Bellman-Ford algorithm,Richard Bellman and Lester Ford Jr.," An algorithm for computing the shortest-length path, was proposed by Alfonso Shimbel, who presented the algorithm in 1954, but was named after Richard Bellman and Lester Ford Jr., who published equivalent forms in 1956 and 1958."
Benford's law,Frank Benford,"Named after physicist Frank Benford, who stated it in 1938, although it had been previously stated by Simon Newcomb in 1881."
Bertrand's ballot theorem,Joseph Louis François Bertrand,"Proved using André's reflection method, which states the probability that the winning candidate in an election stays in the lead throughout the count. It was first published by W. A. Whitworth in 1878, nine years before Joseph Louis François Bertrand; Désiré André's proof did not use reflection, though reflection is now the method commonly taught."
Bessemer process ,Henry Bessemer,Discovered by William Kelly in 1851. Henry Bessemer was the first to obtain a patent in 1855.
Betz' law,Albert Betz,"Shows the maximum attainable energy efficiency of a wind turbine, was discovered first by Frederick W. Lanchester. It was subsequently independently rediscovered by Albert Betz and also Nikolai Zhukovsky."
Betteridge's law of headlines,Ian Betteridge,"Stating that when a headline asks a (yes-no) question, the answer is no. Considered ""an old truism among journalists"", it was well known before Betteridge wrote about it in 2009."
Bilinski dodecahedron,Stanko Bilinski,"The Bilinski dodecahedron appears in a 1752 book by John Lodge Cowley but is named after Stanko Bilinski, who rediscovered it in 1960."
Blount's disease,Walter Putnam Blount,"Described independently by C. Mau (1923) and Harald Nilsonne (1929), both writing in German, before it was described in English by Walter Putnam Blount (1937)."
