year,state,name,islmsun
1945,2,USA,0
1950,2,USA,0
1955,2,USA,0
1960,2,USA,0
1965,2,USA,0
1970,2,USA,0
1975,2,USA,0
1980,2,USA,2407464
1985,2,USA,2186675
1990,2,USA,2019386
1995,2,USA,2134332
2000,2,USA,2249277
2005,2,USA,2363129
2010,2,USA,2476980
1945,20,CAN,0
1950,20,CAN,0
1955,20,CAN,0
1960,20,CAN,0
1965,20,CAN,0
1970,20,CAN,0
1975,20,CAN,0
1980,20,CAN,158057
1985,20,CAN,191529
1990,20,CAN,225000
1995,20,CAN,112500
2000,20,CAN,252291
2005,20,CAN,581400
2010,20,CAN,600000
1975,31,BHM,0
1980,31,BHM,0
1985,31,BHM,0
1990,31,BHM,0
1995,31,BHM,0
2000,31,BHM,0
2005,31,BHM,0
2010,31,BHM,0
1945,40,CUB,0
1950,40,CUB,0
1955,40,CUB,0
1960,40,CUB,0
1965,40,CUB,0
1970,40,CUB,0
1975,40,CUB,0
1980,40,CUB,0
1985,40,CUB,0
1990,40,CUB,0
1995,40,CUB,0
2000,40,CUB,0
2005,40,CUB,0
2010,40,CUB,0
1945,41,HAI,0
1950,41,HAI,0
1955,41,HAI,0
1960,41,HAI,0
1965,41,HAI,0
1970,41,HAI,0
1975,41,HAI,0
1980,41,HAI,0
1985,41,HAI,0
1990,41,HAI,0
1995,41,HAI,0
2000,41,HAI,0
2005,41,HAI,0
2010,41,HAI,0
1945,42,DOM,0
1950,42,DOM,0
1955,42,DOM,0
1960,42,DOM,0
1965,42,DOM,0
1970,42,DOM,0
1975,42,DOM,0
1980,42,DOM,0
1985,42,DOM,0
1990,42,DOM,0
1995,42,DOM,0
2000,42,DOM,0
2005,42,DOM,0
2010,42,DOM,0
1960,51,JAM,0
1965,51,JAM,0
1970,51,JAM,0
1975,51,JAM,0
1980,51,JAM,0
1985,51,JAM,0
1990,51,JAM,0
1995,51,JAM,0
2000,51,JAM,0
2005,51,JAM,0
2010,51,JAM,0
1960,52,TRI,0
1965,52,TRI,0
1970,52,TRI,0
1975,52,TRI,0
1980,52,TRI,0
1985,52,TRI,0
1990,52,TRI,0
1995,52,TRI,0
2000,52,TRI,0
2005,52,TRI,0
2010,52,TRI,0
1970,53,BAR,0
1975,53,BAR,0
1980,53,BAR,0
1985,53,BAR,0
1990,53,BAR,0
1995,53,BAR,0
2000,53,BAR,0
2005,53,BAR,0
2010,53,BAR,0
1980,54,DMA,0
1985,54,DMA,0
1990,54,DMA,0
1995,54,DMA,0
2000,54,DMA,0
2005,54,DMA,0
2010,54,DMA,0
1975,55,GRN,0
1980,55,GRN,0
1985,55,GRN,0
1990,55,GRN,0
1995,55,GRN,0
2000,55,GRN,0
2005,55,GRN,0
2010,55,GRN,0
1980,56,SLU,0
1985,56,SLU,0
1990,56,SLU,0
1995,56,SLU,0
2000,56,SLU,0
2005,56,SLU,0
2010,56,SLU,0
1980,57,SVG,0
1985,57,SVG,0
1990,57,SVG,0
1995,57,SVG,0
2000,57,SVG,0
2005,57,SVG,0
2010,57,SVG,0
1980,58,AAB,0
1985,58,AAB,0
1990,58,AAB,0
1995,58,AAB,0
2000,58,AAB,0
2005,58,AAB,0
2010,58,AAB,0
1985,60,SKN,0
1990,60,SKN,0
1995,60,SKN,0
2000,60,SKN,0
2005,60,SKN,0
2010,60,SKN,0
1945,70,MEX,0
1950,70,MEX,0
1955,70,MEX,0
1960,70,MEX,0
1965,70,MEX,0
1970,70,MEX,0
1975,70,MEX,0
1980,70,MEX,0
